year,category,entries,finishers,finisherPercent
1979,All-Classic,182,74,0.406593407
1980,All-Classic,216,81,0.375
1981,All-Classic,291,91,0.312714777
1982,All-Classic,385,127,0.32987013
1983,All-Classic,380,123,0.323684211
1984,All-Classic,406,148,0.36453202
1985,All-Classic,552,146,0.264492754
1986,All-Classic,486,100,0.205761317
1987,All-Classic,539,124,0.230055659
1988,All-Classic,603,151,0.250414594
1989,All-Classic,473,209,0.441860465
1990,All-Classic,465,133,0.286021505
1991,All-Classic,406,174,0.428571429
1992,All-Classic,332,169,0.509036145
1993,All-Classic,153,67,0.437908497
1994,All-Classic,220,114,0.518181818
1995,All-Classic,205,103,0.502439024
1996,All-Classic,295,121,0.410169492
1997,All-Classic,280,141,0.503571429
1998,All-Classic,323,104,0.321981424
1999,All-Classic,278,110,0.395683453
2000,All-Classic,371,225,0.606469003
2001,All-Classic,276,141,0.510869565
2002,All-Classic,318,132,0.41509434
2003,All-Classic,343,186,0.542274053
2004,All-Classic,400,163,0.4075
2005,All-Classic,464,215,0.463362069
2006,All-Classic,475,193,0.40631579
2007,All-Classic,511,300,0.587084149
2008,All-Classic,570,,
2009,All-Classic,501,271,0.540918164
2010,All-Classic,362,187,0.516574586
2011,All-Classic,407,204,0.501228501
2012,All-Classic,443,249,0.562076749
2013,All-Classic,449,301,0.670378619
2014,All-Classic,431,204,0.473317865
2015,All-Classic,406,216,0.532019704
2016,All-Classic,347,218,0.628242075
2017,All-Classic,318,220,0.691823899
2018,All-Classic,335,184,0.549253731
2019,All-Classic,334,179,0.535928144
2020,All-Classic,342,226,0.660818714
2021,All-Classic,286,183,0.63986014
2022,All-Classic,409,317,0.775061125
2023,All-Classic,352,233,0.661931818
1979,Bike,90,33,0.366666667
1980,Bike,90,25,0.277777778
1981,Bike,106,28,0.264150943
1982,Bike,129,33,0.255813954
1983,Bike,132,28,0.212121212
1984,Bike,114,50,0.438596491
1985,Bike,135,25,0.185185185
1986,Bike,131,29,0.221374046
1987,Bike,154,26,0.168831169
1988,Bike,183,34,0.18579235
1989,Bike,155,60,0.387096774
1990,Bike,136,46,0.338235294
1991,Bike,113,46,0.407079646
1992,Bike,98,45,0.459183674
1993,Bike,46,12,0.260869565
1994,Bike,96,47,0.489583333
1995,Bike,95,27,0.284210526
1996,Bike,119,50,0.420168067
1997,Bike,126,58,0.46031746
1998,Bike,173,41,0.23699422
1999,Bike,88,40,0.454545455
2000,Bike,200,107,0.535
2001,Bike,133,76,0.571428571
2002,Bike,167,58,0.347305389
2003,Bike,162,98,0.604938272
2004,Bike,195,65,0.333333333
2005,Bike,230,104,0.452173913
2006,Bike,232,93,0.400862069
2007,Bike,231,126,0.545454546
2008,Bike,245,,
2009,Bike,217,113,0.520737327
2010,Bike,151,88,0.582781457
2011,Bike,170,94,0.552941177
2012,Bike,178,97,0.54494382
2013,Bike,183,125,0.683060109
2014,Bike,174,78,0.448275862
2015,Bike,161,79,0.49068323
2016,Bike,136,84,0.617647059
2017,Bike,144,96,0.666666667
2018,Bike,139,85,0.611510791
2019,Bike,137,75,0.547445256
2020,Bike,144,96,0.666666667
2021,Bike,101,63,0.623762376
2022,Bike,149,124,0.832214765
2023,Bike,121,80,0.661157025
1979,Quad,,,
1980,Quad,,,
1981,Quad,,,
1982,Quad,,,
1983,Quad,,,
1984,Quad,,,
1985,Quad,,,
1986,Quad,,,
1987,Quad,,,
1988,Quad,,,
1989,Quad,,,
1990,Quad,,,
1991,Quad,,,
1992,Quad,,,
1993,Quad,,,
1994,Quad,,,
1995,Quad,,,
1996,Quad,,,
1997,Quad,,,
1998,Quad,,,
1999,Quad,,,
2000,Quad,,,
2001,Quad,,,
2002,Quad,,,
2003,Quad,,,
2004,Quad,,,
2005,Quad,,,
2006,Quad,,,
2007,Quad,14,6,0.428571429
2008,Quad,20,,
2009,Quad,25,13,0.52
2010,Quad,25,14,0.56
2011,Quad,30,14,0.466666667
2012,Quad,30,12,0.4
2013,Quad,38,26,0.684210526
2014,Quad,40,15,0.375
2015,Quad,45,18,0.4
2016,Quad,45,23,0.511111111
2017,Quad,37,22,0.594594595
2018,Quad,49,32,0.653061225
2019,Quad,26,15,0.576923077
2020,Quad,23,12,0.52173913
2021,Quad,16,11,0.6875
2022,Quad,20,7,0.35
2023,Quad,18,10,0.555555556
1979,SSV,,,
1980,SSV,,,
1981,SSV,,,
1982,SSV,,,
1983,SSV,,,
1984,SSV,,,
1985,SSV,,,
1986,SSV,,,
1987,SSV,,,
1988,SSV,,,
1989,SSV,,,
1990,SSV,,,
1991,SSV,,,
1992,SSV,,,
1993,SSV,,,
1994,SSV,,,
1995,SSV,,,
1996,SSV,,,
1997,SSV,,,
1998,SSV,,,
1999,SSV,,,
2000,SSV,,,
2001,SSV,,,
2002,SSV,,,
2003,SSV,,,
2004,SSV,,,
2005,SSV,,,
2006,SSV,,,
2007,SSV,,,
2008,SSV,,,
2009,SSV,,,
2010,SSV,,,
2011,SSV,,,
2012,SSV,,,
2013,SSV,,,
2014,SSV,,,
2015,SSV,,,
2016,SSV,,,
2017,SSV,10,5,0.5
2018,SSV,11,6,0.545454546
2019,SSV,30,20,0.666666667
2020,SSV,46,31,0.673913044
2021,SSV,61,41,0.672131148
2022,SSV,48,44,0.916666667
2023,SSV,45,39,0.866666667
1979,LW Proto,,,
1980,LW Proto,,,
1981,LW Proto,,,
1982,LW Proto,,,
1983,LW Proto,,,
1984,LW Proto,,,
1985,LW Proto,,,
1986,LW Proto,,,
1987,LW Proto,,,
1988,LW Proto,,,
1989,LW Proto,,,
1990,LW Proto,,,
1991,LW Proto,,,
1992,LW Proto,,,
1993,LW Proto,,,
1994,LW Proto,,,
1995,LW Proto,,,
1996,LW Proto,,,
1997,LW Proto,,,
1998,LW Proto,,,
1999,LW Proto,,,
2000,LW Proto,,,
2001,LW Proto,,,
2002,LW Proto,,,
2003,LW Proto,,,
2004,LW Proto,,,
2005,LW Proto,,,
2006,LW Proto,,,
2007,LW Proto,,,
2008,LW Proto,,,
2009,LW Proto,,,
2010,LW Proto,,,
2011,LW Proto,,,
2012,LW Proto,,,
2013,LW Proto,,,
2014,LW Proto,,,
2015,LW Proto,,,
2016,LW Proto,,,
2017,LW Proto,,,
2018,LW Proto,,,
2019,LW Proto,,,
2020,LW Proto,,,
2021,LW Proto,,,
2022,LW Proto,47,37,0.787234043
2023,LW Proto,47,38,0.808510638
1979,Car,80,38,0.475
1980,Car,116,49,0.422413793
1981,Car,170,60,0.352941177
1982,Car,233,85,0.364806867
1983,Car,236,54,0.228813559
1984,Car,261,92,0.352490422
1985,Car,362,101,0.279005525
1986,Car,282,71,0.25177305
1987,Car,312,98,0.314102564
1988,Car,311,117,0.376205788
1989,Car,241,100,0.414937759
1990,Car,236,64,0.271186441
1991,Car,184,128,0.695652174
1992,Car,133,68,0.511278196
1993,Car,65,55,0.846153846
1994,Car,96,57,0.59375
1995,Car,86,58,0.674418605
1996,Car,106,50,0.471698113
1997,Car,99,61,0.616161616
1998,Car,115,55,0.47826087
1999,Car,161,54,0.335403727
2000,Car,135,95,0.703703704
2001,Car,113,53,0.469026549
2002,Car,117,52,0.444444444
2003,Car,130,61,0.469230769
2004,Car,142,60,0.422535211
2005,Car,165,75,0.454545455
2006,Car,174,67,0.385057471
2007,Car,181,109,0.602209945
2008,Car,205,,
2009,Car,178,91,0.511235955
2010,Car,134,57,0.425373134
2011,Car,140,55,0.392857143
2012,Car,161,78,0.48447205
2013,Car,153,90,0.588235294
2014,Car,147,61,0.414965986
2015,Car,137,68,0.496350365
2016,Car,111,67,0.603603604
2017,Car,77,58,0.753246753
2018,Car,92,43,0.467391304
2019,Car,100,56,0.56
2020,Car,83,58,0.698795181
2021,Car,64,48,0.75
2022,Car,89,72,0.808988764
2023,Car,67,45,0.671641791
1979,Truck,12,3,0.25
1980,Truck,10,7,0.7
1981,Truck,15,3,0.2
1982,Truck,23,9,0.391304348
1983,Truck,12,8,
1984,Truck,31,12,
1985,Truck,55,20,0.363636364
1986,Truck,73,,
1987,Truck,73,,
1988,Truck,109,,
1989,Truck,77,49,0.636363636
1990,Truck,93,23,0.247311828
1991,Truck,109,,
1992,Truck,101,56,0.554455446
1993,Truck,42,,
1994,Truck,28,10,0.357142857
1995,Truck,24,18,0.75
1996,Truck,70,21,0.3
1997,Truck,55,22,0.4
1998,Truck,35,8,0.228571429
1999,Truck,29,16,0.551724138
2000,Truck,36,23,0.638888889
2001,Truck,30,12,0.4
2002,Truck,34,22,0.647058824
2003,Truck,51,27,0.529411765
2004,Truck,63,38,0.603174603
2005,Truck,69,36,0.52173913
2006,Truck,69,33,0.47826087
2007,Truck,85,59,0.694117647
2008,Truck,100,,
2009,Truck,81,54,0.666666667
2010,Truck,52,28,0.538461539
2011,Truck,67,41,0.611940299
2012,Truck,74,60,0.810810811
2013,Truck,75,60,0.8
2014,Truck,70,50,0.714285714
2015,Truck,63,51,0.80952381
2016,Truck,55,44,0.8
2017,Truck,50,38,0.76
2018,Truck,44,18,0.409090909
2019,Truck,41,13,0.317073171
2020,Truck,46,29,0.630434783
2021,Truck,44,20,0.454545455
2022,Truck,56,33,0.589285714
2023,Truck,54,21,0.388888889
1979,Classic,,,
1980,Classic,,,
1981,Classic,,,
1982,Classic,,,
1983,Classic,,,
1984,Classic,,,
1985,Classic,,,
1986,Classic,,,
1987,Classic,,,
1988,Classic,,,
1989,Classic,,,
1990,Classic,,,
1991,Classic,,,
1992,Classic,,,
1993,Classic,,,
1994,Classic,,,
1995,Classic,,,
1996,Classic,,,
1997,Classic,,,
1998,Classic,,,
1999,Classic,,,
2000,Classic,,,
2001,Classic,,,
2002,Classic,,,
2003,Classic,,,
2004,Classic,,,
2005,Classic,,,
2006,Classic,,,
2007,Classic,,,
2008,Classic,,,
2009,Classic,,,
2010,Classic,,,
2011,Classic,,,
2012,Classic,,,
2013,Classic,,,
2014,Classic,,,
2015,Classic,,,
2016,Classic,,,
2017,Classic,,,
2018,Classic,,,
2019,Classic,,,
2020,Classic,,,
2021,Classic,24,23,0.958333333
2022,Classic,142,129,0.908450704
2023,Classic,88,80,0.909090909
1979,All,,,
1980,All,,,
1981,All,,,
1982,All,,,
1983,All,,,
1984,All,,,
1985,All,,,
1986,All,,,
1987,All,,,
1988,All,,,
1989,All,,,
1990,All,,,
1991,All,,,
1992,All,,,
1993,All,,,
1994,All,,,
1995,All,,,
1996,All,,,
1997,All,,,
1998,All,,,
1999,All,,,
2000,All,,,
2001,All,,,
2002,All,,,
2003,All,,,
2004,All,,,
2005,All,,,
2006,All,,,
2007,All,,,
2008,All,,,
2009,All,,,
2010,All,,,
2011,All,,,
2012,All,,,
2013,All,,,
2014,All,,,
2015,All,,,
2016,All,,,
2017,All,,,
2018,All,,,
2019,All,,,
2020,All,,,
2021,All,310,206,0.664516129
2022,All,551,446,0.809437387
2023,All,440,313,0.711363636